"filename", "language", "Markdown", "JSON with Comments", "JSON", "TypeScript", "TypeScript JSX", "Skill", "comment", "blank", "total"
"d:\VSProject\Agent\my_agent\vivlos\entries\opentui\containers\chat\StatusBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 133, 0, 9, 15, 157
"d:\VSProject\Agent\my_agent\vivlos\entries\opentui\designs\colors.ts", "TypeScript", 0, 0, 0, 206, 0, 0, 29, 22, 257
"d:\VSProject\Agent\my_agent\vivlos\entries\opentui\designs\theme.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 24, 7, 57
"d:\VSProject\Agent\my_agent\vivlos\entries\opentui\docs\morning.md", "Markdown", 23, 0, 0, 0, 0, 0, 0, 2, 25
"d:\VSProject\Agent\my_agent\vivlos\entries\opentui\hooks\useAgent.ts", "TypeScript", 0, 0, 0, 367, 0, 0, 53, 52, 472
"d:\VSProject\Agent\my_agent\vivlos\entries\opentui\hooks\useExitHandler.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 6, 4, 39
"d:\VSProject\Agent\my_agent\vivlos\entries\opentui\hooks\useNotification.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 6, 5, 29
"d:\VSProject\Agent\my_agent\vivlos\entries\opentui\hooks\useProviderManager.ts", "TypeScript", 0, 0, 0, 146, 0, 0, 10, 21, 177
"d:\VSProject\Agent\my_agent\vivlos\entries\opentui\keybinds.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 20, 6, 52
"d:\VSProject\Agent\my_agent\vivlos\entries\opentui\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 125, 0, 18, 20, 163
"d:\VSProject\Agent\my_agent\vivlos\entries\opentui\tsconfig.json", "JSON with Comments", 0, 24, 0, 0, 0, 0, 0, 1, 25
"d:\VSProject\Agent\my_agent\vivlos\entries\types.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 14, 2, 27
"d:\VSProject\Agent\my_agent\vivlos\infra\config\index.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 8, 4, 36
"d:\VSProject\Agent\my_agent\vivlos\infra\eventbus\index.ts", "TypeScript", 0, 0, 0, 38, 0, 0, 9, 9, 56
"d:\VSProject\Agent\my_agent\vivlos\infra\eventbus\types.ts", "TypeScript", 0, 0, 0, 78, 0, 0, 7, 1, 86
"d:\VSProject\Agent\my_agent\vivlos\infra\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 1, 2
"d:\VSProject\Agent\my_agent\vivlos\infra\llm\index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\VSProject\Agent\my_agent\vivlos\infra\llm\provider.ts", "TypeScript", 0, 0, 0, 127, 0, 0, 26, 29, 182
"d:\VSProject\Agent\my_agent\vivlos\infra\llm\test\provider.test.ts", "TypeScript", 0, 0, 0, 43, 0, 0, 4, 9, 56
"d:\VSProject\Agent\my_agent\vivlos\infra\llm\types.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 33, 19, 87
"d:\VSProject\Agent\my_agent\vivlos\infra\logger\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 1, 2
"d:\VSProject\Agent\my_agent\vivlos\infra\logger\logger.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 17, 3, 33
